day,date,phase,tests.performed.todate,tests.performed,tests.positive.todate,tests.positive,tests.regular.performed.todate,tests.regular.performed,tests.regular.positive.todate,tests.regular.positive,tests.ns-apr20.performed.todate,tests.ns-apr20.performed,tests.ns-apr20.positive.todate,tests.ns-apr20.positive,cases.confirmed.todate,cases.confirmed,cases.last14days,cases.active,cases.recovered.todate,cases.closed.todate,cases.hs.employee.confirmed.todate,cases.rh.employee.confirmed.todate,cases.rh.occupant.confirmed.todate,cases.unclassified.confirmed.todate,state.in_hospital,state.icu,state.critical,state.in_hospital.todate,state.out_of_hospital.todate,state.deceased.todate,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.used.todate,vaccination.delivered.todate,state.recovered.todate,region.lj.todate,region.ce.todate,region.ms.todate,region.nm.todate,region.mb.todate,region.kr.todate,region.sg.todate,region.po.todate,region.za.todate,region.kp.todate,region.ng.todate,region.kk.todate,region.foreign.todate,region.todate,age.0-4.todate,age.5-14.todate,age.15-24.todate,age.25-34.todate,age.35-44.todate,age.45-54.todate,age.55-64.todate,age.65-74.todate,age.75-84.todate,age.85+.todate,age.todate,age.female.0-4.todate,age.female.5-14.todate,age.female.15-24.todate,age.female.25-34.todate,age.female.35-44.todate,age.female.45-54.todate,age.female.55-64.todate,age.female.65-74.todate,age.female.75-84.todate,age.female.85+.todate,age.female.todate,age.male.0-4.todate,age.male.5-14.todate,age.male.15-24.todate,age.male.25-34.todate,age.male.35-44.todate,age.male.45-54.todate,age.male.55-64.todate,age.male.65-74.todate,age.male.75-84.todate,age.male.85+.todate,age.male.todate,deceased.0-4.todate,deceased.5-14.todate,deceased.15-24.todate,deceased.25-34.todate,deceased.35-44.todate,deceased.45-54.todate,deceased.55-64.todate,deceased.65-74.todate,deceased.75-84.todate,deceased.85+.todate,deceased.todate,deceased.female.0-4.todate,deceased.female.5-14.todate,deceased.female.15-24.todate,deceased.female.25-34.todate,deceased.female.35-44.todate,deceased.female.45-54.todate,deceased.female.55-64.todate,deceased.female.65-74.todate,deceased.female.75-84.todate,deceased.female.85+.todate,deceased.female.todate,deceased.male.0-4.todate,deceased.male.5-14.todate,deceased.male.15-24.todate,deceased.male.25-34.todate,deceased.male.35-44.todate,deceased.male.45-54.todate,deceased.male.55-64.todate,deceased.male.65-74.todate,deceased.male.75-84.todate,deceased.male.85+.todate,deceased.male.todate
271,2020-11-23,F7,316662,3143,56163,1039,311733,3143,56138,1039,4929,0,25,0,56163,1039,14967,20710,33892,35453,1847,,,54316,1354,22,22,5793,,1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2020-11-24,F7,320011,3349,57448,1288,315082,3349,57423,1288,4929,0,25,0,57448,1288,14934,20878,34970,36570,1847,,,55601,1361,22,22,5834,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2020-11-25,F7,322875,2864,58608,1160,317946,2864,58583,1160,4929,0,25,0,58608,1160,14799,20972,36006,37636,1847,,,56761,1378,22,22,5886,,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2020-11-26,F7,325959,3084,59701,1093,321030,3084,59676,1093,4929,0,25,0,59701,1093,14828,21218,36825,38483,1847,,,57854,1360,22,22,5907,,1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2020-11-27,F7,329086,3127,60723,1022,324157,3127,60698,1022,4929,0,25,0,60723,1022,14682,21519,37505,39204,1847,,,58876,1312,22,22,5944,,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2020-11-28,F7,331105,2019,61542,820,326176,2019,61517,820,4929,0,25,0,61542,820,14512,21409,38402,40133,1847,,,59695,1346,22,22,6018,,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2020-11-29,F7,332286,1181,61876,336,327357,1181,61851,336,4929,0,25,0,61876,336,14257,21167,38946,40709,2086,,,59790,1360,22,22,6069,,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2020-11-30,F7,335298,3012,62944,1069,330369,3012,62919,1069,4929,0,25,0,62944,1069,14349,20964,40188,41980,2086,,,60858,1399,22,22,6125,,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2020-12-01,F7,337862,2564,63889,946,332933,2564,63864,946,4929,0,25,0,63889,946,13889,21087,40977,42802,2086,,,61803,1320,22,22,6152,,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,2020-12-02,F7,341261,3399,65230,1342,336332,3399,65205,1342,4929,0,25,0,65230,1342,14033,21727,41656,43503,2086,,,63144,1382,22,22,6247,,1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2020-12-03,F7,344085,2824,66327,1100,339156,2824,66302,1100,4929,0,25,0,66327,1100,13896,22209,42241,44118,2086,,,64241,1350,22,22,6271,,1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,2020-12-04,F7,347080,2995,67309,984,342151,2995,67284,984,4929,0,25,0,67309,984,13698,22536,42872,44773,2086,,,65223,1390,22,22,6347,,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2020-12-05,F7,348795,1715,67967,659,343866,1715,67942,659,4929,0,25,0,67967,659,13245,22397,43646,45570,2086,,,65881,1380,22,22,6378,,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2020-12-06,F7,349742,947,68332,365,344813,947,68307,365,4929,0,25,0,68332,365,13223,21678,44705,46654,2497,,,65835,1412,19,19,6439,,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2020-12-07,F7,352735,2993,69450,1120,347806,2993,69425,1120,4929,0,25,0,69450,1120,13304,21852,45621,47598,2497,,,66953,1403,20,20,6482,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,2020-12-08,F7,354205,1470,69954,504,349276,1470,69929,504,4929,0,25,0,69954,504,12520,21635,46296,48319,2497,,,67457,1440,19,19,6539,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2020-12-09,F7,357102,2758,70883,929,352173,2758,70858,929,4929,0,25,0,70883,929,12289,21468,47364,49415,2497,,,68386,1431,19,19,6575,,2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,2020-12-10,F7,360216,3114,72043,1161,355287,3114,72018,1161,4929,0,25,0,72043,1161,12357,21796,48170,50247,2497,,,69546,1404,19,19,6603,,2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2020-12-11,F7,363021,2805,73025,982,358092,2805,73000,982,4929,0,25,0,73025,982,12317,22203,48726,50822,2497,,,70528,1365,19,19,6630,,2096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,2020-12-12,F7,364958,1837,73638,613,360029,1837,73613,613,4929,0,25,0,73638,613,12110,22103,49414,51535,2497,,,71141,1368,19,19,6663,,2121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,2020-12-13,F7,365599,741,73851,213,360670,741,73826,213,4929,0,25,0,73851,213,11987,21658,50046,52193,2744,,,71107,1391,25,25,6693,,2147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,2020-12-14,F7,368502,2902,74732,881,363573,2902,74707,881,4929,0,25,0,74732,881,11799,21711,50852,53021,2744,,,71988,1366,25,25,6725,,2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2020-12-15,F7,371391,2889,75594,865,366462,2889,75569,865,4929,0,25,0,75594,865,11718,21907,51493,53687,2744,,,72850,1381,25,25,6778,,2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,2020-12-16,F7,373738,2347,76251,657,368809,2347,76226,657,4929,0,25,0,76251,657,11033,21613,52413,54638,2744,,,73507,1336,25,25,6803,,2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2020-12-17,F7,376565,2827,77134,883,371636,2827,77109,883,4929,0,25,0,77134,883,10816,21931,52949,55203,2744,,,74390,1339,25,25,6849,,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,2020-12-18,F7,379229,2664,77948,815,374300,2664,77923,815,4929,0,25,0,77948,815,10647,22329,53345,55619,2744,,,75204,1299,25,25,6875,,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2020-12-19,F7,380616,1387,78305,357,375687,1387,78280,357,4929,0,25,0,78305,357,10345,21980,54033,56325,2744,,,75561,1278,25,25,6904,,2292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,2020-12-20,F7,381207,591,78432,129,376278,591,78407,129,4929,0,25,0,78432,129,10109,20963,55155,57469,2954,,,75478,1391,27,27,6936,,2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2020-12-21,F7,383769,2562,79188,758,378840,2562,79163,758,4929,0,25,0,79188,758,9747,20749,56099,58439,2954,,,76234,1340,27,27,6963,,2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2020-12-22,F7,386279,2510,79815,627,381350,2510,79790,627,4929,0,25,0,79815,627,9870,20718,56743,59097,2954,,,76861,1345,27,27,6989,,2354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2020-12-23,F7,388485,2206,80407,592,383556,2206,80382,592,4929,0,25,0,80407,592,9533,20598,57434,59809,2954,,,77453,1305,27,27,7007,,2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,2020-12-24,F7,390377,1892,80895,489,385448,1892,80870,489,4929,0,25,0,80895,489,8861,20312,58182,60583,2954,,,77941,1289,27,27,7022,,2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2020-12-25,F7,392376,1999,81425,530,387447,1999,81400,530,4929,0,25,0,81425,530,8409,20278,58720,61147,2954,,,78471,1261,27,27,7060,,2427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,2020-12-26,F7,393629,1253,81721,296,388700,1253,81696,296,4929,0,25,0,81721,296,8092,20045,59231,61676,2954,,,78767,1230,27,27,7073,,2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2020-12-27,F7,394329,700,81803,83,389400,700,81778,83,4929,0,25,0,81803,83,7962,19697,59650,62106,3181,,,78622,1225,17,17,7414,,2456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2020-12-28,F7,396797,2467,82301,498,391868,2467,82276,498,4929,0,25,0,82301,498,7579,19572,60256,62729,3181,,,79120,1179,17,17,7434,,2473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2020-12-29,F7,399163,2366,82793,493,394234,2366,82768,493,4929,0,25,0,82793,493,7207,19599,60706,63194,3181,,,79612,1165,17,17,7468,,2488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2020-12-30,F7,400825,1662,83329,536,395896,1662,83304,536,4929,0,25,0,83329,536,7086,19379,61447,63950,3181,,,80148,1096,17,17,7490,,2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2020-12-31,F7,402444,1619,83743,414,397515,1619,83718,414,4929,0,25,0,83743,414,6617,19290,61943,64453,3181,,,80562,1082,17,17,7522,,2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2021-01-01,F7,402822,378,83787,46,397893,378,83762,46,4929,0,25,0,83787,46,5848,18796,62469,64991,3181,,,80606,1069,17,17,7543,,2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2021-01-02,F7,404347,1525,84023,237,399418,1525,83998,237,4929,0,25,0,84023,237,5728,18564,62929,65459,3181,,,80842,1105,25,25,7589,,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2021-01-03,F7,405108,761,84129,106,400179,761,84104,106,4929,0,25,0,84129,106,5705,18047,63532,66082,3292,,,80837,910,25,25,7671,,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2021-01-04,F7,407539,2431,84706,580,402610,2431,84681,580,4929,0,25,0,84706,580,5527,18043,64104,66663,3292,,,81414,892,25,25,7702,,2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2021-01-05,F7,409991,2452,85328,622,405062,2452,85303,622,4929,0,25,0,85328,622,5522,16964,65793,68364,3292,,,82036,872,25,25,7750,,2571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2021-01-06,F7,411040,1049,85494,166,406111,1049,85469,166,4929,0,25,0,85494,166,5096,16704,66209,68790,3292,,,82202,865,25,25,7775,,2581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2021-01-07,F7,411804,764,85594,100,406875,764,85569,100,4929,0,25,0,85594,100,4707,16242,66760,69352,3292,,,82302,820,25,25,7792,,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2021-01-08,F7,414757,2953,86149,556,409828,2953,86124,556,4929,0,25,0,86149,556,4733,16371,67164,69778,3292,,,82857,784,25,25,7824,,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2021-01-09,F7,417212,2455,86494,345,412283,2455,86469,345,4929,0,25,0,86494,345,4782,16419,67453,70075,3292,,,83202,800,11,11,7856,,2622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2021-01-10,F7,418130,918,86605,104,413201,918,86580,104,4929,0,25,0,86605,104,4803,15978,67992,70627,3439,,,83166,801,11,11,7933,,2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2021-01-11,F7,421153,3023,87113,520,416224,3023,87088,520,4929,0,25,0,87113,520,4825,16102,68364,71011,3439,,,83674,740,11,11,7948,,2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2021-01-12,F7,423696,2543,87590,477,418767,2543,87565,477,4929,0,25,0,87590,477,4809,16238,68695,71352,3439,,,84151,732,11,11,7969,,2657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2021-01-13,F7,425888,2192,87986,396,420959,2192,87961,396,4929,0,25,0,87986,396,4669,16177,69137,71809,3439,,,84547,724,11,11,7997,,2672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2021-01-14,F7,428006,2118,88388,403,423077,2118,88363,403,4929,0,25,0,88388,403,4658,16230,69476,72158,3439,,,84949,707,11,11,8017,,2682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2021-01-15,F7,430182,2176,88748,361,425253,2176,88723,361,4929,0,25,0,88748,361,4973,14460,71592,74288,3439,,,85309,678,11,11,8032,,2696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2021-01-16,F7,431712,1530,88929,190,426783,1530,88904,190,4929,0,25,0,88929,190,4926,12626,73601,76303,3439,,,85490,695,14,14,8062,,2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2021-01-17,F7,432241,529,88992,63,427312,529,88967,63,4929,0,25,0,88992,63,4883,12500,73777,76492,3439,,,85553,704,14,14,8029,,2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2021-01-18,F7,434568,2327,89391,400,429639,2327,89366,400,4929,0,25,0,89391,400,4703,12888,73777,76503,3439,,,85952,689,14,14,8050,,2726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2021-01-19,F7,435361,793,89461,72,430432,793,89436,72,4929,0,25,0,89461,72,4153,11922,74800,77539,3439,,,86022,666,14,14,8064,,2739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2021-01-20,F7,437267,1906,89817,356,432338,1906,89792,356,4929,0,25,0,89817,356,4343,11676,75387,78141,3439,,,86378,658,14,14,8081,,2754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2021-01-21,F7,439121,1854,90124,307,434192,1854,90099,307,4929,0,25,0,90124,307,4550,11311,76045,78813,3439,,,86685,656,14,14,8111,,2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2021-01-22,F7,441134,2013,90471,347,436205,2013,90446,347,4929,0,25,0,90471,347,4341,11269,76423,79202,3439,,,87032,632,14,14,8135,,2779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2021-01-23,F7,442600,1466,90654,183,437671,1466,90629,183,4929,0,25,0,90654,183,4179,9715,78154,80939,3439,,,87215,652,11,11,8165,,2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2021-01-24,F7,443277,677,90717,63,438348,677,90692,63,4929,0,25,0,90717,63,4138,9199,78727,81518,3439,,,87278,620,11,11,8184,,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2021-01-25,F7,445795,2518,91161,444,440866,2518,91136,444,4929,0,25,0,91161,444,4062,8728,79621,82433,3439,,,87722,612,11,11,8211,,2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2021-01-26,F7,448031,2236,91555,394,443102,2236,91530,394,4929,0,25,0,91555,394,3979,8726,80008,82829,3439,,,88116,589,11,11,8226,,2821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2021-01-27,F7,449995,1964,91891,336,445066,1964,91866,336,4929,0,25,0,91891,336,3919,8667,80393,83224,3439,,,88452,586,11,11,8260,,2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2021-01-28,F7,452019,2024,92193,302,447090,2024,92168,302,4929,0,25,0,92193,302,3818,8515,80837,83678,3439,,,88754,603,11,11,8288,,2841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2021-01-29,F7,454608,2589,92518,325,449679,2589,92493,325,4929,0,25,0,92518,325,3782,8354,81316,84164,3439,,,89079,612,11,11,8337,,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2021-01-30,F7,456341,1733,92692,175,451412,1733,92667,175,4929,0,25,0,92692,175,3767,8156,81681,84536,3439,,,89253,616,9,9,8352,,2855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2021-01-31,F7,457019,678,92753,61,452090,678,92728,61,4929,0,25,0,92753,61,3765,7766,82121,84987,3439,,,89314,572,9,9,8362,,2866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2021-02-01,F7,459559,2540,93160,407,454630,2540,93135,407,4929,0,25,0,93160,407,3772,7767,82520,85393,3439,,,89721,583,9,9,8397,,2873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,2021-02-02,F7,461850,2291,93509,350,456921,2291,93484,350,4929,0,25,0,93509,350,4050,7830,82786,85679,3439,,,90070,567,9,9,8416,,2893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,2021-02-03,F7,463957,2107,93882,373,459028,2107,93857,373,4929,0,25,0,93882,373,4067,7558,83424,86324,3439,,,90443,560,9,9,8431,,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2021-02-04,F7,466118,2161,94195,314,461189,2161,94170,314,4929,0,25,0,94195,314,4074,7653,83634,86542,3439,,,90756,581,9,9,8469,,2908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2021-02-05,F7,468845,2727,94599,404,463916,2727,94574,404,4929,0,25,0,94599,404,4131,7948,83735,86651,3439,,,91160,594,9,9,8507,,2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
